AF 103.224.127.49 103.251.176.65 210.80.0.251 103.18.160.145 
GY 190.108.208.62 181.41.64.245 190.108.208.84 190.80.64.72 
HT 186.190.0.116 200.4.160.169 200.113.192.84 186.190.0.214 
HN 186.32.240.73 190.124.160.26 179.60.176.242 190.92.32.245 
HU 93.92.56.117 87.97.0.101 85.238.64.105 91.82.0.160 
IS 91.199.134.30 178.248.16.206 37.152.64.7 81.15.0.193 
IN 103.243.68.55 103.7.128.177 103.58.40.76 103.232.124.57 
ID 103.50.218.124 49.50.8.26 113.20.28.254 103.4.52.109 
IR 109.230.223.26 89.35.120.9 94.176.80.105 37.32.32.209 
IQ 185.88.24.160 130.255.88.26 185.23.152.38 185.38.212.250 
IE 141.136.96.229 185.99.108.1 93.107.0.79 185.31.96.18 
IL 109.186.0.147 185.30.232.160 5.22.128.233 91.237.251.84 
IT 195.54.60.11 217.73.224.210 193.200.3.58 94.230.64.130 
CI 213.136.96.147 41.202.96.101 213.136.96.26 41.202.64.123 
JM 184.170.0.171 74.116.56.89 184.170.0.168 69.160.96.231 
JP 175.41.192.39 103.241.208.5 103.28.168.28 103.224.8.57 
JE 81.20.176.25 81.20.176.136 87.244.64.25 81.20.176.206 
KZ 185.98.76.158 195.38.22.180 109.201.32.60 109.229.160.67 
KE 197.237.0.8 212.22.160.64 196.43.246.8 41.206.32.54 
KI 202.6.120.48 202.6.120.33 202.6.120.246 103.25.140.17 
KW 193.108.142.55 185.19.76.107 89.203.0.20 195.39.128.2 
KG 95.87.64.118 31.186.48.74 212.42.96.194 212.42.96.198 
LA 202.62.96.9 183.182.96.182 183.182.96.57 103.13.88.85 
LV 62.84.0.102 178.213.48.1 85.158.72.237 89.18.192.225 
LB 91.240.80.2 185.4.252.249 185.97.92.115 185.82.32.32 
LS 196.202.240.27 196.43.249.17 154.66.108.184 196.4.255.2 
LR 197.231.152.7 197.231.152.62 197.231.152.53 197.231.220.13 
LY 154.73.108.225 41.252.0.9 41.252.0.216 41.252.0.99 
LI 5.34.248.4 5.34.248.207 80.72.48.62 89.248.144.208 
LT 31.193.192.224 188.211.26.21 217.77.16.25 188.211.26.80 
LU 91.190.216.86 37.230.112.241 31.172.144.69 185.32.236.38 
MK 77.28.0.33 5.32.180.113 5.32.181.197 185.6.20.216 
MG 41.77.16.121 41.204.96.67 41.190.236.213 41.77.16.129 
MW 197.211.96.175 41.216.228.25 41.221.96.170 41.221.96.206 
MY 45.64.168.168 192.228.155.23 103.229.32.30 103.26.248.90 
MV 203.104.24.197 203.104.24.248 123.176.0.65 203.104.24.253 
ML 217.64.96.74 41.73.96.246 196.200.48.189 41.221.176.204 
MT 80.71.48.187 94.17.0.197 185.13.40.97 159.20.24.150 
MH 117.103.88.9 117.103.88.5 117.103.88.200 117.103.88.216 
MR 41.188.64.74 41.188.64.69 41.138.128.254 41.188.64.206 
MU 196.201.16.134 41.222.0.15 41.84.128.38 196.216.2.173 
MX 207.248.112.34 148.246.0.246 200.34.168.138 201.170.0.153 
FM 124.109.8.105 124.109.8.180 124.109.8.221 124.109.8.72 
MD 185.10.20.215 193.104.41.180 79.140.160.213 188.237.0.233 
MC 91.199.109.2 80.94.96.242 80.94.96.131 88.209.64.200 
MN 182.160.0.23 103.11.192.113 182.160.0.19 203.91.112.38 
ME 79.143.96.43 77.222.0.163 37.0.64.11 85.94.96.226 
MA 105.188.0.223 41.77.112.236 41.77.112.195 160.160.0.33 
MZ 41.77.128.189 196.40.112.20 41.79.244.10 41.220.160.201 
MM 45.120.84.9 103.61.8.13 45.120.84.11 45.120.84.29 
NA 197.234.64.67 196.1.28.241 41.205.128.254 196.1.28.37 
NR 103.20.124.177 103.20.124.221 103.49.174.193 103.49.174.141 
NP 202.52.224.238 103.232.228.42 103.5.150.2 116.66.192.140 
NL 94.103.16.86 185.113.172.27 185.55.108.160 46.229.160.191 
NZ 103.14.3.18 202.61.2.69 49.143.228.37 202.50.184.38 
NI 161.0.32.109 190.106.48.125 190.212.64.233 190.106.0.9 
NG 41.75.80.118 197.242.240.42 105.112.0.185 41.223.136.251 
NE 154.66.220.37 154.66.220.89 41.190.228.93 41.190.228.17 
KP 87.98.231.40 87.98.231.40 87.98.231.40
NO 85.113.160.7 91.123.32.33 195.35.109.44 87.238.32.245 
OM 5.36.0.109 62.61.160.189 62.61.160.130 185.112.104.34 
PK 43.230.92.85 103.20.0.73 103.12.120.119 210.2.128.100 
PW 202.124.224.11 202.124.224.96 103.30.248.6 103.30.248.5 
PA 186.1.128.184 200.74.240.138 200.108.48.57 190.105.168.50 
PG 103.43.144.121 27.122.16.170 103.9.226.133 203.83.16.69 
PY 190.93.176.83 200.61.224.121 200.61.224.6 200.61.224.50 
PE 200.31.96.251 200.121.128.42 181.64.0.17 190.108.80.202 
PL 91.215.32.137 151.248.56.109 188.121.0.97 193.238.168.69 
PT 185.12.116.47 195.54.168.86 5.172.144.154 91.231.216.8 
QA 212.77.192.60 80.76.160.255 89.211.0.245 37.208.128.2 
RO 31.131.8.164 91.237.48.162 89.47.12.72 195.222.104.50 
RU 37.98.160.27 46.235.64.87 217.70.16.132 185.30.96.20 
RW 41.186.0.234 41.242.140.132 41.138.80.9 105.178.0.17 
SV 190.53.0.115 201.247.192.3 190.5.128.81 190.99.32.48 
WS 182.50.168.33 202.87.208.36 203.99.255.6 182.50.168.54 
ST 41.78.96.171 41.158.0.2 41.76.120.12 154.66.232.85
SA 89.189.224.197 37.124.0.3 46.230.0.170 198.36.44.188 
SN 196.1.95.39 196.1.99.1 196.1.95.81 213.154.64.130 
RS 37.18.184.6 89.110.192.253 176.109.136.1 95.140.112.134 
SC 137.63.0.86 41.223.216.221 196.196.0.193 41.222.204.10 
SL 31.134.96.35 31.134.96.18 31.134.96.193 31.134.96.214 
SG 103.3.60.100 203.123.0.165 203.142.0.1 203.125.0.105 
SK 94.136.128.86 188.120.0.68 81.161.60.210 159.253.104.74 
SI 193.111.220.14 91.237.132.3 193.23.62.241 46.19.8.211 
SB 103.21.248.1 103.21.248.4 103.21.248.10 103.21.248.6 
SO 197.231.200.23 154.73.44.18 154.73.44.182 154.73.44.181 
ZA 154.73.192.42 154.66.196.247 192.96.88.161 196.22.240.2 
KR 112.140.64.240 210.218.128.66 119.18.64.198 111.92.188.75 
SS 41.79.24.46 154.73.88.165 154.73.88.225 41.79.24.189 
ES 176.28.96.97 185.101.160.87 185.72.212.19 185.44.24.147 
LK 182.161.0.216 203.94.64.104 203.94.64.52 203.115.32.2 
KN 199.21.164.0 208.70.92.95 208.87.144.53 204.16.8.190 
LC 192.147.231.49 192.147.231.1 192.147.231.97 192.147.231.6 
MF 199.101.188.30 158.222.40.32 192.139.192.34 199.101.188.20 
VC 207.191.240.1 192.58.140.1 208.84.200.199 199.192.226.48 
SD 41.202.160.9 41.202.160.182 41.67.0.21 196.29.160.5 
SR 200.1.208.176 200.1.208.140 200.1.208.180 200.1.208.210 
SZ 196.28.7.68 69.63.64.225 69.63.64.83 196.28.7.122 
SE 195.66.101.120 78.153.224.49 92.39.32.43 83.142.0.1 
CH 195.66.123.88 192.33.216.92 144.200.0.252 83.97.120.59 
SY 5.104.128.54 185.96.108.121 5.134.200.4 185.52.232.46 
TJ 176.113.128.65 176.113.128.58 77.95.0.105 193.111.10.135 
TZ 41.79.184.46 41.222.176.142 169.239.0.2 41.223.180.210 
TH 123.242.128.13 1.0.128.129 1.0.128.114 101.51.0.54 
TG 41.207.160.133 41.207.160.179 197.148.96.30 80.248.64.222 
TO 103.245.160.14 175.176.144.64 175.176.144.60 202.134.24.110 
TT 200.7.88.42 201.221.64.64 64.28.128.2 201.221.64.237 
TN 193.95.0.82 196.216.156.42 196.216.156.33 169.255.92.65 
TR 78.135.16.188 159.253.32.185 193.105.211.56 185.84.180.98 
TM 217.174.224.1 217.174.224.9 217.174.224.9 217.174.224.1 
TV 103.50.218.124 49.50.8.26 113.20.28.254 103.4.52.109 
US 162.254.88.2 192.12.16.231 108.182.0.74 192.111.253.27 
UG 196.0.0.77 196.0.0.74 196.0.0.164 154.0.128.83 
UA 91.237.240.104 194.126.180.69 91.225.72.133 37.203.0.245 
AE 185.45.192.55 185.56.88.246 185.56.88.21 185.45.192.39 
GB 185.25.188.54 185.55.188.131 31.222.128.42 195.216.196.36 
UY 200.58.128.57 190.112.200.42 200.40.0.116 200.7.84.2 
UZ 213.230.64.202 91.203.172.2 84.54.64.150 80.80.208.18 
VU 180.222.208.90 103.20.232.209 103.20.232.1 202.80.32.6 
VE 191.97.16.136 190.6.0.98 200.84.192.58 186.188.0.27 
VN 103.47.192.152 103.17.88.173 103.232.120.86 14.160.0.197 
YE 89.189.64.74 109.74.32.81 81.91.24.151 109.74.32.174 
CD 169.255.188.33 169.255.188.19 41.190.232.222 41.77.220.59 
ZM 41.77.0.215 41.191.116.38 197.220.0.27 41.215.176.115 
ZW 41.85.192.153 169.239.24.30 154.73.80.1 169.239.24.117 
